,инструкторы,инструктора
,редакторы,редактора
,лекторы,лектора
,ректоры,ректора
,конструкторы,конструктора
,прожекторы,прожектора
,секторы,сектора
,инженеры,инженера
,шофёры,шофёра
,бухгалтеры,бухгалтера
,диспетчеры,диспетчера
,договоры,договора
,приговоры,приговора
,плейеры,плейера
,драйверы,драйвера
,принтеры,принтера
,директора,директоры
,профессора,профессоры
,инспектора,инспекторы
,доктора,докторы
,катера,катеры
,ордера,ордеры
,тенора,теноры
,фельдшера,фельдшеры
,флюгера,флюгеры
,хутора,хуторы
,шулера,шулеры
,буфера,буферы
,веера,вееры
,буера,буеры
,повара,повары
,грифели,грифеля
,госпитали,госпиталя
,векселя,вексели
,вензеля,вензели
,кителя,кители
,штабеля,штабели
,штемпеля,штемпели
,тополя,тополи
,шомпола,шомполы
,колокола,колоколы
,купола,куполы
,слесари,слесаря
,токари,токаря
,конюхи,конюха
,возрасты,возраста
,кремы,крема
,супы,супа
,грунты,грунта
,лифты,лифта
,порты,порта
,склады,склада
,торты,торта
,флоты,флота
,фронты,фронта
,штабы,штаба
,штурманы,штурмана
,адреса,адресы
,бока,боки
,борта,борты
,века,веки
,желоба,желобы
,жемчуга,жемчуги
,жернова,жерновы
,края,краи
,кузова,кузовы
,окорока,окороки
,округа,округи
,острова,островы
,отпуска,отпуски
,паруса,парусы
,паспорта,паспорты
,погреба,погребы
,потроха,потрохи
,снега,снеги
,стога,стоги
,сорта,сорты
,сторожа,сторожи
,тетерева,тетеревы
,черепа,черепы
,апельсинов,апельсин
,бананов,банан
,огурцов,огурц
,томатов,томат
,помидоров,помидор
,гранатов,гранат
,абрикосов,абрикос
,ананасов,ананас
,лимонов,лимон
,мандаринов,мандарин
,баклажанов,баклажан
,яблок,яблоков
,груш,грушей
,слив,сливов
,дынь,дыней
,казахов,казах
,калмыков,калмык
,киргизов,киргиз
,монголов,монгол
,семитов,семит
,таджиков,таджик
,тунгусов,тунгус
,узбеков,узбек
,хорватов,хорват
,якутов,якут
,турок,турков
,бурят,бурятов
,армян,армянов
,башкир,башкиров
,болгар,болгаров
,грузин,грузинов
,лезгин,лезгинов
,осетин,осетинов
,румын,румынов
,татар,татаров
,туркмен,туркменов
,цыган,цыганов
,бедуинов,бедуин
,байтов,байт
,гектаров,гектар
,граммов,грамм
,децибелов,децибел
,каратов,карат
,килограммов,килограмм
,километров,километр
,ампер,амперов
,аршин,аршинов
,бит,битов
,ватт,ваттов
,вольт,вольтов
,радиан,радианов
,рентген,рентгенов
,гольфов,гольф
,рельсов,рельс
,бронхов,бронх
,джинсов,джинс
,лампасов,лампас
,бриджей,бридж
,ботинок,ботинков
,чулок,чулков
,шаровар,шароваров
,шорт,шортов
,туфель,туфлей
,сапог,сапогов
,тапок,тапков
,тапочек,тапочков
,галош,галошей
,бахил,бахилов
,бутс,бутсов
,валенок,валенков
,манжет,манжетов
,клипс,клипсов
,солдат,солдатов
,гусар,гусаров
,драгун,драгунов
,гренадёр,гренадёров
,кадет,кадетов
,улан,уланов
,партизан,партизанов
,богинь,богин
,погонь,погон
,тихонь,тихон
,яблонь,яблон
,нянь,нян
,басен,басень
,башен,башень
,боен,боень
,вишен,вишень
,двоен,двоень
,пашен,пашень
,сотен,сотень
,спален,спалень
,сплетен,сплетень
,таможен,таможень
,черешен,черешень
,барышень,барышен
,боярышень,боярышен
,кухонь,кухон
,деревень,деревней
,болотцев,болотец
,кружевцев,кружевец
,деревцев,деревец
,оконцев,оконец
,блюдец,блюдцев
,зеркалец,зеркальцев
,одеялец,одеяльцев
,полотенец,полотенцев
,сердец,сердцев
,солнц,солнцев
,гуляний,гуляней,гуляньев
,армий,армей,армьев
,застолий,застолей,застольев
,аудиторий,аудиторей,аудиторьев
,кушаний,кушаней,кушаньев
,бегуний,бегуней,бегуньев
,надгробий,надгробей,надгробьев
,гостий,гостей,гостьев
,новоселий,новоселей,новосельев
,оладий,оладей,оладьев
,ожерелий,ожерелей,ожерельев
,пародий,пародей,пародьев
,раздумий,раздумей,раздумьев
,плясуний,плясуней,плясуньев
,сидений,сиденей,сиденьев
,эскадрилий,эскадрилей,эскадрильев
,колдуний,колдуней,колдуньев
,печений,печеней,печеньев
,снадобий,снадобей,снадобьев
,побережий,побережей,побережьев
,солений,соленей,соленьев
,подземелий,подземелей,подземельев
,ущелий,ущелей,ущельев
,ружей,ружий,ружьев
,питей,питий,питьев
,полыней,полыний,полыньев
,статей,статий,статьев
,судей,судий,судьев
,платьев,платей,платий
,верховьев,верховей,верховий
,кореньев,кореней,корений
,лохмотьев,лохмотей,лохмотий
,низовьев,низовей,низовий
,подмастерьев,подмастерей,подмастерий
,хлопьев,хлопей,хлопий
,устьев,устей,устий
,распрей,распрь,расприй
,дровней,дровень,дровний
,ведомостей,ведомостий
,козней,козень,козний
,лопастей,лопастий
,пельменей,пельмень,пельмений
,мощностей,мощностий
,яслей,ясель,яслий
,отраслей,отрасель,отраслий
,скатертей,скатертий
,скоростей,скоростий
,четвертей,четвертий
,бомжей,бомжий
,векселей,вексель,векселий
,зелей,зель,зелий
,госпиталей,госпиталь,госпиталий,госпитален
,кабелей,кабелий,кабелев
,медведей,медведев,медведий
,будней,будний,буден,будь
,раздумий,раздумьев,раздумей
,оладий,оладьев,оладей,оладь
,сидений,сиденьев,сиденей,сидень
,солений,соленьев,соленей,солень
,ущелий,ущельев,ущелей,ущель
,печений,печеньев,печеней,печень
,кушаний,кушаньев,кушаней
,побережий,побережьев,побережей
,ожерелий,ожерельев,ожерелей,ожерель
,подземелий,подземельев,подземелей,подземель
,вафель,вафлей,вафлий,вафль
,петель,петлей,петлий,петль
,полотенец,полотенцев,полотениц,полотенц
,барж,бареж,баржей,баржь,баржев,баржий
,басен,басень,басний,басней,баснь,басн
,башен,башеньъний,башней,башнь,башн
,блюдец,блюдцев,блюдц
,брызг,брызгов,брызог
,копен,копней,копн,копень,копнь
,кочерег,кочергей,кочерг,кочерыг,кочергов
,обойм,обоем,обоймов
,пелен,пеленей,пеленов,пеленев
,каникул,каникулов,каникулей
,лосин,лосинов
,макарон,макаронов
,манжет,манжетов
,невзгод,невзгодов,невзгодий,невзгодей
,оков,оковий,оковьев,ок
,сардин,сардинов,сардиний
,уз,узов
,шпрот,шпротов
,брызг,брызгов,брызог
,нянь,няней
,серег,серьгов,серг
,сирот,сиротьев,сиротий
,сплетен,сплетней,сплетень,сплетнь
,зраз,зразов
,жабр,жабров
,выборов,выборьев
,дебатов,дебат
,заморозков,заморозок
,кулуаров,кулуар
,мускулов,мускул
,нардов,нард
,очистков,очисток,очистк
,сотов,сот
,чипсов,чипс
,нервов,нерв
